AT,SR,RH,WV,AP
8.93,0,85.70,0.00,695.00
8.14,11.843,89.65,0.00,694.36
8.38,106.567,90.57,0.00,693.91
8.50,339.512,90.25,0.00,694.06
8.38,601.795,92.36,0.00,694.52
8.75,537.931,88.04,0.00,695.06
9.77,340.26,80.41,0.00,695.73
11.84,453.061,70.39,0.00,696.06
13.96,184.745,61.27,0.00,695.94
14.12,209.677,63.24,0.00,695.56
13.42,440.101,61.88,0.00,695.18
14.93,156.268,56.24,0.00,694.44
8.82,0,93.51,0.00,694.23
8.90,6.895,92.60,0.00,693.88
8.60,73.01,94.54,0.00,693.66
8.55,211.273,92.17,0.00,693.70
7.95,430.387,89.17,0.00,694.21
7.25,522.561,90.98,0.00,694.95
7.84,292.021,82.51,0.00,695.73
8.72,173.068,77.52,0.00,696.10
10.46,163.741,70.18,0.00,696.14
11.90,213.789,63.94,0.00,695.87
11.92,186.317,63.48,0.00,695.41
11.64,170.805,63.76,0.00,694.92
8.37,0,83.15,0.00,694.37
7.98,14.1,85.17,0.00,693.91
7.68,72.416,87.76,0.00,693.61
7.80,157.631,86.47,0.00,693.60
8.31,385.115,79.17,0.00,694.04
8.24,520.72,79.69,0.00,694.69
8.76,619.323,79.64,0.00,695.35
9.73,845.673,74.50,0.00,695.64
11.23,351.358,69.44,0.00,695.73
12.75,156.312,64.46,0.00,695.63
14.17,100.607,59.09,0.00,694.87
15.77,75.122,57.49,0.00,694.09
7.89,0,92.43,0.00,694.91
7.60,11.513,93.35,0.00,694.68
7.03,75.385,90.89,0.00,694.55
6.77,152.251,90.92,0.00,694.57
6.53,183.892,93.16,0.00,694.83
6.96,358.269,92.37,0.00,695.13
7.68,575.529,91.01,0.00,695.65
9.57,453.401,86.06,0.00,695.86
10.88,309.706,82.29,0.00,695.79
11.68,300.508,79.56,0.00,695.63
13.06,315.861,69.52,0.00,695.43
13.13,139.456,64.03,0.00,695.09
6.07,0,92.08,0.00,695.48
6.34,4.315,90.51,0.00,695.11
6.23,49.813,89.37,0.00,694.90
5.90,126.47,92.16,0.00,694.77
5.84,149.123,92.62,0.00,694.97
6.61,320.75,85.20,0.00,695.65
7.24,274.406,82.81,0.00,696.12
7.71,443.083,83.23,0.00,696.35
8.96,397.508,80.04,0.00,696.45
10.44,628.6,77.12,0.00,696.26
11.53,250.132,71.54,0.00,695.74
12.52,171.266,67.39,0.00,695.12
8.03,0,88.16,0.00,694.96
7.90,15.073,86.65,0.00,694.65
7.77,125.894,86.81,0.00,694.43
7.48,304.738,87.90,0.00,694.50
7.25,340.02,88.79,0.00,694.83
7.00,265.493,90.03,0.00,695.22
8.83,169.919,83.15,0.00,695.65
11.33,364.42,71.19,0.00,695.81
11.39,738.158,72.10,0.00,695.91
11.79,587.894,70.04,0.00,695.78
12.21,354.375,67.08,0.00,695.37
13.50,173.628,61.74,0.00,694.66
8.40,0,81.43,0.00,693.89
8.12,9.667,82.23,0.00,693.45
7.46,71.03,79.52,0.00,693.31
6.88,140.107,79.49,0.00,693.54
6.61,161.67,79.48,0.00,693.87
6.90,145.18,78.86,0.00,694.33
8.66,231.558,72.16,0.00,694.73
9.49,593.278,71.27,0.00,694.92
10.20,679.497,70.59,0.00,694.94
10.76,666.743,69.36,0.00,694.68
11.72,542.638,66.38,0.00,694.34
13.66,172.13,60.85,0.00,693.73
7.67,0,96.91,0.00,693.40
6.82,17.97,97.56,0.00,693.22
6.68,61.799,96.89,0.00,693.18
6.58,413.168,96.30,0.00,693.46
7.28,637.456,95.06,0.00,693.94
7.40,912.94,94.78,0.00,694.37
10.50,608.916,79.55,0.00,694.82
12.60,943.736,70.53,0.00,695.14
14.26,923.081,62.54,0.00,695.18
15.97,726.343,54.96,0.00,694.91
16.17,304.031,52.05,0.00,694.35
17.71,148.552,49.83,0.00,693.65
8.49,0,95.41,0.00,693.35
