Item,Tipo,pH,CE,MO,Dr,Da,P,K,N,C,H,Na,Pb,Cd,Hg,As,Se,Grasa,ST,Proteína,SNG,Lactosa,P_congelación,Sales,Conductividad
MSB-01,suelo,5.435,134.4,0.6137,2.383733333,1.0719,322.7,734.76,0.347,3.1815,1.009,,2.156188119,0.434282178,1.918193069,1.368564356,1.996782178,,,,,,,,
MSB-02,suelo,5.963333333,76.66666667,0.350066667,2.4106,1.1397,321.5,932.49,0.245,1.4695,0.699,,2.065543712,0.371674126,1.853110024,1.335869264,1.739953777,,,,,,,,
MSB-03,suelo,6.53,93.12333333,0.355666667,2.385566667,1.304833333,277.6,1012.05,0.2725,1.136,0.6365,,1.542884853,0.353729426,1.865364071,1.218586361,1.468381717,,,,,,,,
MSB-04,suelo,5.79,56.55666667,0.3049,2.476566667,1.216966667,241,1025.115,0.2735,1.0955,0.564,,1.577149557,0.406697007,1.795960381,1.297494853,1.121302655,,,,,,,,
MSB-05,suelo,6.166666667,44.97,0.3222,2.4351,1.2503,252.2,1023.945,0.208,0.8155,0.55,,1.623579878,0.312314659,1.801844076,1.363300339,1.054709386,,,,,,,,
MSB-06,suelo,5.846666667,55.75,0.338466667,2.514566667,1.1848,245.7,852.15,0.332,1.224,0.616,,1.587967083,0.328434483,1.908546553,1.219561785,1.444383917,,,,,,,,
MSB-07,suelo,6.01,60.12,0.201366667,2.411233333,1.30648,300.5,961.74,0.4655,0.927,0.596,,1.566757472,0.363327878,1.725322693,1.450196349,1.074141929,,,,,,,,
MSB-08,suelo,5.7,44.61666667,0.325533333,2.396166667,1.250566667,239,862.095,0.6785,1.385,0.637,,2.070705819,0.471976759,1.858525243,1.562007649,1.697488936,,,,,,,,
MSB-09,suelo,6.36,17.59333333,0.085266667,2.5044,1.2953,301.8,852.345,0.87,0.519,0.901,,1.584088652,0.320551731,1.811750992,1.262415462,1.209197343,,,,,,,,
MSB-10,suelo,5.993333333,52.35,0.336766667,2.5706,1.250233333,254.6,973.83,0.895,1.476,0.6835,,1.511667412,0.319485049,1.849533555,1.362097004,1.275801323,,,,,,,,
MSB-11,suelo,6.146666667,236.97,0.264133333,2.533133333,1.3642,282.7,1154.79,1.0235,1.0405,0.751,,1.53984479,0.311890057,1.815865304,1.267260723,1.166228168,,,,,,,,
