S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
12.33325,8.695041667,14.24479167,13.09495833,15.23283333,13.21733333,11.44879167,8.989333333,13.67666667,7.979
11.07529167,6.80575,13.20808333,12.1415,14.86833333,12.5005,10.094875,9.134791667,13.00883333,6.45275
11.12729167,7.282875,13.20975,12.16233333,14.7975,12.113875,10.52541667,8.893333333,12.711625,6.819333333
10.036,7.151166667,11.8255,10.94658333,14.48616667,11.310625,9.745666667,8.899083333,11.91254167,6.535833333
9.58968,6.5942,11.78648,10.28584,14.4916,10.8124,8.99472,7.92884,11.42876,6.12188
11.227625,7.322916667,13.03583333,11.67670833,14.610125,11.88020833,10.40475,9.408875,12.66975,7.055916667
11.07,7.137333333,13.01245833,11.14366667,14.05729167,12.04204167,10.48341667,8.947083333,12.775,6.589208333
12.6125,8.610666667,13.8795,12.35945833,14.18104167,12.574625,11.60254167,9.354375,13.608625,7.745458333
10.693,7.860833333,12.26791667,11.44320833,14.29858333,11.79320833,10.72841667,9.352791667,12.42116667,6.849208333
11.105,7.909583333,12.31825,11.488375,14.62158333,11.74275,10.62004167,9.471541667,12.442875,6.786125
10.71304167,7.828333333,13.20820833,11.69829167,14.52379167,12.52795833,11.0065,9.705833333,12.862375,6.422541667
11.75279167,8.679458333,13.974875,12.9525,14.767375,13.106125,11.10291667,9.47475,13.48804167,7.297333333
11.37579167,8.404041667,13.76429167,12.66441667,14.87508333,13.2225,10.54570833,9.414541667,13.621,7.438875
12.412875,8.778583333,14.28383333,12.764125,14.62895833,13.37045833,10.75841667,9.4645,14.09641667,7.677833333
11.438,8.942416667,13.8845,12.87704167,15.07391667,13.78775,10.94108333,9.70625,13.99208333,7.582833333
12.37208333,9.292333333,14.90375,13.56833333,14.76816667,14.37058333,11.02770833,8.675958333,14.870875,7.989333333
11.600125,7.522125,14.23054167,13.66404167,14.89475,14.05741667,10.68808333,7.235875,14.22045833,7.638833333
10.03616667,7.180375,12.05566667,12.32704167,14.45616667,12.272625,9.270916667,7.196833333,12.57958333,6.319833333
10.77858333,8.037333333,13.3995,12.45879167,14.514875,12.33433333,10.22933333,7.536333333,13.17833333,7.115458333
11.63145833,8.721208333,13.22520833,12.86741667,13.99925,12.69645833,10.53604167,7.801666667,13.048,7.432791667
