AT,SR,RH,WV,AP
-0.021814815,-1.033077301,-0.030460814,0,-0.566995341
-0.260283618,-0.987007152,0.254681241,0,-1.172172186
-0.187667178,-0.618523756,0.321010113,0,-1.600759573
-0.150910708,0.287649598,0.297650815,0,-1.456624394
-0.187966011,1.30794995,0.449918835,0,-1.017537093
-0.075604771,1.059514246,0.138028941,0,-0.506859471
0.227411978,0.290559373,-0.412068119,0,0.133635265
0.846892965,0.729363642,-1.134187669,0,0.452450827
1.479821441,-0.314405528,-1.792069147,0,0.335042701
1.527634735,-0.217418197,-1.649750458,0,-0.032454279
1.317256242,0.678948279,-1.747873931,0,-0.395178571
1.769988368,-0.425183174,-2.15421037,0,-1.09867279
-0.055284121,-1.033077301,0.532397345,0,-1.29817115
-0.033170473,-1.006255239,0.467149922,0,-1.630350239
-0.120728567,-0.749062978,0.606801037,0,-1.843212126
-0.138060886,-0.211209638,0.436292577,0,-1.801212471
-0.315567739,0.641160098,0.219930679,0,-1.315352827
-0.524452066,0.999723804,0.34992085,0,-0.606131383
-0.348439378,0.10290608,-0.260521065,0,0.132680728
-0.085466263,-0.359829926,-0.620355198,0,0.484905106
0.433009141,-0.396112649,-1.149472148,0,0.524995686
0.864225284,-0.201422211,-1.599354934,0,0.272043219
0.870500779,-0.308290332,-1.632447274,0,-0.169907695
0.785632183,-0.368633164,-1.612332322,0,-0.641449274
-0.190954342,-1.033077301,-0.214018758,0,-1.159763197
-0.306303913,-0.978227254,-0.068888302,0,-1.603623186
-0.396252672,-0.751373682,0.117841893,0,-1.891893544
-0.359795035,-0.419881002,0.025053569,0,-1.898575307
-0.207987828,0.465048655,-0.501467904,0,-1.479533296
-0.230101476,0.992562178,-0.464049768,0,-0.861947462
-0.075305938,1.376135172,-0.467510405,0,-0.229089027
0.216056321,2.256653485,-0.838086931,0,0.047726881
0.663110618,0.333731417,-1.202967825,0,0.136498878
1.11942874,-0.42501201,-1.561432122,0,0.036272429
1.544070555,-0.641708598,-1.948590866,0,-0.690130692
2.021605826,-0.740847141,-2.064450103,0,-1.433715491
-0.333198891,-1.033077301,0.45446092,0,-0.6471765
-0.419262819,-0.988290876,0.520789793,0,-0.868629226
-0.589597678,-0.739824052,0.343648446,0,-0.99462819
-0.668489613,-0.440809602,0.345595054,0,-0.975537438
-0.741106053,-0.317723762,0.507740308,0,-0.723539509
-0.611711327,0.360615721,0.450495607,0,-0.437178226
-0.396551505,1.205773259,0.352300038,0,0.057272257
0.167645361,0.730686267,-0.004217651,0,0.256770617
0.560610869,0.171702044,-0.276454414,0,0.194725673
0.798780839,0.13592114,-0.47335023,0,0.036272429
1.211768163,0.195645451,-1.196767518,0,-0.156544168
1.232985312,-0.490583103,-1.592722047,0,-0.473450655
-0.876477441,-1.033077301,0.42987598,0,-0.101180987
-0.796091341,-1.016291631,0.31661222,0,-0.459132591
-0.82896298,-0.839301031,0.23391742,0,-0.653858263
-0.929968563,-0.541099607,0.435139031,0,-0.786538991
-0.946703216,-0.452977754,0.468808144,0,-0.592767856
-0.717199406,0.214664024,-0.066364921,0,0.058226794
-0.528635729,0.034382422,-0.238964182,0,0.505904934
-0.389080678,0.690548481,-0.208827803,0,0.727357659
-0.013447489,0.513258346,-0.438167089,0,0.820902345
0.428526645,1.412223391,-0.649338031,0,0.641449274
0.754553542,-0.060045242,-1.051564965,0,0.141271566
1.048306465,-0.36683984,-1.350837953,0,-0.443859989
-0.291362259,-1.033077301,0.146608437,0,-0.601358695
-0.329911727,-0.974442212,0.038030957,0,-0.901083504
