S6_T,S6_H,S6_R,S6_P,S7_T,S7_H,S7_R,S7_P,S8_T,S8_H,S8_R,S8_P,S9_T,S9_H,S9_R,S9_P
-0.34241192,0.093214745,-0.31007079,0.649773286,-0.659497851,0.358849335,-0.540786253,0.512811677,-0.22507351,0.27016636,-0.359986968,0.649773286,-0.791936376,0.007048669,0.499187245,0.512811677
-0.554191851,0.186868768,-0.294492091,0.820766256,-0.825772679,0.2622703,0.269613781,0.615374013,-0.490767551,0.635010407,1.245310444,0.820766256,-0.538851525,0.007963408,1.302798145,0.615374013
-0.841376042,0.17488527,-0.296397336,0.85496485,-0.970820932,0.175691648,1.332943304,0.581186568,-1.148360304,0.649532961,0.796428284,0.85496485,-0.346746174,0.008420778,0.869492895,0.581186568
-1.053155973,0.18279227,-0.302767635,0.820766256,-0.93632775,0.019178815,0.499042184,0.546999123,-1.009892832,0.655904146,0.330896813,0.820766256,-1.10161658,0.007048669,0.433203545,0.546999123
-1.160665952,0.16634571,-0.309629558,0.68397188,-1.14387647,0.175554656,0.288386539,0.546999123,-1.499383009,0.722145734,-0.631543423,0.68397188,-1.482240254,0.005905244,1.245078645,0.546999123
-1.01869387,0.113632376,-0.265466926,0.068397188,-1.044524313,-0.007329047,1.716604564,0.06837489,-0.402373188,-0.129625511,0.209490645,0.068397188,-1.190495197,0.006476957,1.83452601,0.06837489
-0.348302878,-0.17836435,-0.301871776,0.068397188,0.074882635,-0.762563398,0.390463637,0.136749781,0.283832769,0.377820651,0.914120324,0.068397188,0.422073791,0.009678545,0.285595955,0.136749781
0.587475763,-0.416593476,-0.306650362,0.136794376,0.829310441,-1.153126273,-0.711409685,0.239312116,0.910257567,0.748192638,1.232170935,0.136794376,1.31803402,-2.155510071,-0.08886637,0.239312116
0.852274314,-0.588614655,-0.318495557,0.307787346,1.016517028,-1.291076753,-0.634365335,0.410249342,1.722157243,-0.711370935,-0.837399034,0.307787346,1.141871021,-1.382440772,-0.389452929,0.410249342
1.095865417,-0.623721736,-0.316262412,0.444581722,0.990573438,-1.053259442,-0.54548575,0.581186568,2.299019883,-1.254795555,-0.82969395,0.444581722,1.09165261,-1.142893342,-0.601471424,0.581186568
