Pb,Cd,Hg,As,Se
2.156188119,0.434282178,1.918193069,1.368564356,1.996782178
2.065543712,0.371674126,1.853110024,1.335869264,1.739953777
1.542884853,0.353729426,1.865364071,1.218586361,1.468381717
1.577149557,0.406697007,1.795960381,1.297494853,1.121302655
1.623579878,0.312314659,1.801844076,1.363300339,1.054709386
1.587967083,0.328434483,1.908546553,1.219561785,1.444383917
1.566757472,0.363327878,1.725322693,1.450196349,1.074141929
2.070705819,0.471976759,1.858525243,1.562007649,1.697488936
1.584088652,0.320551731,1.811750992,1.262415462,1.209197343
1.511667412,0.319485049,1.849533555,1.362097004,1.275801323
1.53984479,0.311890057,1.815865304,1.267260723,1.166228168
1.19842775,0.319508233,1.833341236,1.213133756,1.233064874
1.890618967,0.32419663,1.820919528,1.090894079,1.403679083
1.3937878,0.426862836,1.752656816,1.738097597,1.603863595
1.352908262,0.32951047,1.79545506,1.504570475,1.433611858
1.341825789,0.305263112,1.772228549,1.532459377,1.286049309
0.461304725,0.395063345,1.763810936,0.640169526,1.120984364
1.254588829,0.685504492,1.843400614,0.768560789,1.05373886
1.003072334,0.395358667,1.811432221,0.633778421,0.997088538
0.835977533,0.410831678,1.847146607,0.615457581,1.174552725
1.572473372,1.022336045,1.838461229,0.644714204,1.310810024
1.186456397,0.654579085,2.141477261,0.695806847,1.678224075
1.655222991,0.432333528,2.075103472,0.806480746,1.281782651
1.075238786,0.383826104,2.343861278,0.860393091,1.019203358
1.238377569,0.358019439,1.783769936,0.882083472,2.569254317
0.894887532,0.31899905,1.75954201,0.817756767,1.296671706
1.642011103,1.353534045,1.975439746,0.803535406,1.135775375
1.347020673,0.391121225,1.915523236,0.766848241,0.941040425
2.082064786,0.42780832,2.081820256,0.810997894,1.371820381
1.686171703,0.373191933,1.827203546,0.79085502,1.395547328
9.07170087,0.267796831,31.82607523,0.772148327,0.845234291
1.108735192,0.495283639,1.929635461,0.869831268,1.776522601
0.798715793,0.439806755,1.730413965,0.891772173,0.759971792
0.690699955,0.749246066,1.721285842,0.992416521,0.761582619
0.915601691,0.426611163,1.800477692,0.839742945,0.75968462
3.416614839,0.372064241,123.2979366,0.883941388,0.834481631
0.606795185,0.905505009,1.740190532,0.991098653,1.101688625
0.538488544,0.568593342,718.2374163,0.845974018,0.591490385
0.78318091,0.323668791,1.802678223,0.800547539,0.969752249
1.876640294,0.37664549,1.739747619,0.939946402,0.748819367
1.160908883,0.426209276,194.4746664,0.889435467,2.031927809
4.974782426,0.674834812,242.6109731,0.823086115,0.636709576
0.980879501,0.858557472,1.752644284,0.699860273,0.671227553
1.380342353,0.351656993,1.790247022,0.732897934,0.566483312
1.612822276,0.341878997,1.71655336,0.723293796,0.993973973
0.865478902,0.316909059,1.651732843,0.729576858,0.788385139
3.315641867,0.374647714,197.9727383,0.763353236,1.01105775
2.634263137,0.309967118,1.69,0.64662435,1.101979685
